time,gFx,gFy,gFz,TgF
0.001618731,0.0928,0.9017,0.4202,0.999
0.006325385,0.0965,0.9076,0.4009,0.997
0.009797692,0.096,0.9086,0.3992,0.997
0.011813769,0.0948,0.9122,0.3948,0.999
0.015438846,0.0938,0.9127,0.3931,0.998
0.017924731,0.0923,0.9135,0.3906,0.998
0.022895115,0.0909,0.9149,0.3892,0.998
0.030444385,0.0897,0.9157,0.3889,0.999
0.035370539,0.0845,0.9188,0.3867,1
0.0389595,0.0823,0.9201,0.3867,1.001
0.043842654,0.0799,0.9215,0.3843,1.002
0.047294308,0.0765,0.9215,0.3831,1.001
0.051221692,0.0735,0.9218,0.3823,1.001
0.054939885,0.0716,0.921,0.3806,0.999
0.059221423,0.0689,0.9208,0.3804,0.999
0.063574885,0.0665,0.9205,0.3772,0.997
0.067372462,0.0647,0.9201,0.377,0.996
0.071557115,0.065,0.9198,0.3745,0.995
0.078383923,0.0647,0.9201,0.3728,0.995
0.081120923,0.065,0.9181,0.3711,0.992
0.084090808,0.0662,0.9179,0.3713,0.992
0.088301808,0.0669,0.9171,0.3713,0.992
0.092159038,0.0694,0.9152,0.3721,0.99
0.096397692,0.0716,0.9154,0.3723,0.991
0.100064846,0.073,0.9149,0.3733,0.991
0.1043625,0.074,0.9142,0.3735,0.99
0.108883192,0.0735,0.9154,0.3757,0.992
0.112923385,0.0743,0.9144,0.3765,0.992
0.116534615,0.0743,0.9154,0.3757,0.992
0.120719692,0.074,0.9169,0.3767,0.994
0.127050385,0.0752,0.9186,0.377,0.996
0.129552308,0.0752,0.9191,0.3784,0.997
0.132864077,0.0757,0.9198,0.3797,0.998
0.136764808,0.077,0.9203,0.3816,0.999
0.141185308,0.0772,0.9198,0.3831,0.999
0.145612462,0.0772,0.9196,0.384,1
0.149568731,0.0779,0.9188,0.385,0.999
0.153482462,0.0787,0.9186,0.3875,1
0.157856731,0.0789,0.9174,0.3892,1
0.161819115,0.0806,0.9179,0.3919,1.001
0.165665346,0.0789,0.9181,0.3926,1.002
0.1699055,0.0792,0.9171,0.3943,1.001
0.174554731,0.077,0.9161,0.397,1.001
0.178158923,0.0762,0.9152,0.3975,1.001
0.181972577,0.0752,0.9149,0.3997,1.001
0.186414538,0.0743,0.9144,0.4012,1.001
0.190364077,0.0743,0.9135,0.4031,1.001
0.194683038,0.0743,0.9122,0.4046,1.001
0.198687385,0.0738,0.9122,0.4036,1
0.202672154,0.0716,0.913,0.4026,1
0.206894731,0.0696,0.9139,0.4033,1.001
0.210898346,0.0684,0.9157,0.4029,1.003
0.215123,0.0674,0.9174,0.4021,1.004
0.218771538,0.0667,0.9196,0.4024,1.006
0.222981692,0.066,0.9196,0.4007,1.005
