time,gFx,gFy,gFz,TgF
0.001128116,0.0911,0.9433,0.3293,1.003
0.004730308,0.0921,0.9413,0.3303,1.002
0.008718308,0.0948,0.9401,0.3283,1
0.013381693,0.097,0.9394,0.3269,0.999
0.016772654,0.1009,0.9376,0.3244,0.997
0.020759885,0.1011,0.9364,0.3232,0.996
0.025202424,0.1029,0.9374,0.3227,0.997
0.029297231,0.1038,0.9376,0.323,0.997
0.033586039,0.1055,0.9364,0.3213,0.996
0.037355116,0.1077,0.9364,0.3208,0.996
0.041573385,0.1087,0.9369,0.32,0.996
0.04576,0.1097,0.9374,0.3171,0.996
0.049906616,0.1068,0.9372,0.3156,0.995
0.053978616,0.1048,0.9379,0.3159,0.995
0.057672154,0.1043,0.9364,0.3164,0.994
0.063597539,0.1033,0.9384,0.3152,0.995
0.068198193,0.1038,0.9394,0.3142,0.996
0.070262,0.1024,0.9398,0.3127,0.996
0.074220423,0.1019,0.9416,0.3108,0.997
0.07866727,0.1031,0.9428,0.3081,0.997
0.082645885,0.1038,0.9445,0.3071,0.999
0.086603847,0.1033,0.9455,0.3051,0.999
0.09054777,0.1043,0.9452,0.3044,0.998
0.095193077,0.1029,0.9464,0.3022,0.999
0.098707731,0.1021,0.9474,0.3,0.999
0.101121116,0.1016,0.9482,0.2985,0.999
0.1042805,0.1021,0.9484,0.2961,0.999
0.107416,0.1016,0.9489,0.2956,0.999
0.112651885,0.1019,0.9499,0.2951,1
0.115472731,0.1009,0.9506,0.2951,1
0.119745885,0.1019,0.9504,0.2946,1
0.123552539,0.1011,0.9499,0.2946,1
0.128085885,0.0992,0.9484,0.2944,0.998
0.132004039,0.0985,0.9496,0.2939,0.999
0.135945654,0.0972,0.9479,0.2946,0.997
0.139895885,0.0982,0.9474,0.2954,0.997
0.143831462,0.0987,0.9472,0.2973,0.998
0.146101539,0.098,0.9474,0.2981,0.998
0.148362039,0.0987,0.9479,0.299,0.999
0.152371077,0.0997,0.9452,0.2993,0.996
0.156437346,0.0992,0.945,0.2995,0.996
0.160384539,0.098,0.9445,0.2995,0.996
0.165736923,0.097,0.943,0.301,0.995
0.169564346,0.0955,0.9418,0.3042,0.994
0.17303327,0.0933,0.9423,0.3051,0.995
0.1769045,0.0926,0.9418,0.3095,0.996
0.180782616,0.0909,0.9416,0.3115,0.996
0.184936116,0.0909,0.9408,0.3149,0.996
0.189438616,0.0921,0.9398,0.3169,0.996
0.193224885,0.0926,0.9401,0.3171,0.996
0.197565923,0.0926,0.9406,0.32,0.998
0.201750308,0.0941,0.9384,0.3218,0.996
0.205531808,0.096,0.9381,0.3235,0.997
0.209610039,0.098,0.9379,0.3232,0.997
0.213830423,0.1002,0.9379,0.3235,0.997
0.2185685,0.1021,0.9386,0.3225,0.998
0.221718116,0.1048,0.9396,0.3196,0.998
0.225791,0.1055,0.9398,0.32,0.998
0.230947231,0.1053,0.9386,0.3186,0.997
0.234705346,0.1046,0.9396,0.3174,0.997
0.238505116,0.1036,0.9406,0.3171,0.998
0.242430116,0.1029,0.9401,0.3164,0.997
0.249107,0.1033,0.9411,0.3183,0.999
0.251943308,0.1046,0.9416,0.3181,0.999
0.254978577,0.1046,0.942,0.3186,1
0.258735616,0.1033,0.9425,0.3171,1
0.265769077,0.1029,0.9428,0.3161,1
0.271345039,0.1016,0.9435,0.3156,1
0.275162346,0.1024,0.9438,0.3169,1.001
0.279734616,0.1031,0.944,0.3169,1.001
0.284138654,0.1029,0.9442,0.3161,1.001
0.287612039,0.1043,0.9438,0.3147,1
0.291665308,0.1065,0.9428,0.3117,0.999
0.295955385,0.1055,0.9428,0.3108,0.998
0.299898462,0.1063,0.9423,0.3098,0.998
0.303825769,0.107,0.9428,0.3086,0.998
0.307766577,0.1046,0.942,0.3083,0.997
0.312611654,0.1036,0.9423,0.3076,0.997
0.316267885,0.1024,0.9418,0.3073,0.996
0.320426769,0.1024,0.943,0.3049,0.996
0.324407577,0.1014,0.9447,0.3027,0.997
0.329543039,0.1019,0.945,0.3017,0.997
0.332849346,0.0999,0.9462,0.3015,0.998
0.336735193,0.098,0.9457,0.301,0.997
0.340783269,0.0975,0.946,0.301,0.997
