time,gFx,gFy,gFz,TgF
0.001260577,-0.0327,0.1947,0.9833,1.003
0.004415808,-0.0332,0.203,0.9767,0.998
0.012995808,-0.033,0.2038,0.9767,0.998
0.016346077,-0.0261,0.203,0.9863,1.007
0.019995192,-0.0242,0.2028,0.9946,1.015
0.023956692,-0.022,0.2011,0.998,1.018
0.026764846,-0.0213,0.2001,0.9965,1.017
0.029257462,-0.023,0.1969,0.9926,1.012
0.032288346,-0.0261,0.1954,0.9904,1.01
0.036223077,-0.0281,0.1928,0.9846,1.004
0.040205154,-0.0308,0.1893,0.9814,1
0.044674192,-0.0325,0.1864,0.9794,0.998
0.048434539,-0.0369,0.1867,0.977,0.995
0.052357116,-0.0401,0.1876,0.978,0.997
0.056611346,-0.0401,0.1903,0.9811,1
0.059000231,-0.0396,0.1908,0.9824,1.001
0.061008539,-0.0384,0.191,0.9848,1.004
0.065398769,-0.0369,0.1932,0.9897,1.009
0.068779116,-0.0315,0.193,0.9948,1.014
0.073044846,-0.0274,0.192,0.9992,1.018
0.080294154,-0.0237,0.1945,0.9997,1.019
0.082417423,-0.0227,0.1957,0.9943,1.014
0.087473769,-0.0225,0.1962,0.9912,1.011
0.090532,-0.0235,0.1972,0.9841,1.004
0.093420808,-0.0247,0.1981,0.9828,1.003
0.097682539,-0.0252,0.1991,0.9782,0.999
0.101683116,-0.0257,0.1994,0.976,0.996
0.105519462,-0.0281,0.1991,0.9728,0.993
0.110017539,-0.0298,0.2003,0.9716,0.992
0.114382192,-0.0332,0.1981,0.9716,0.992
0.118106654,-0.0374,0.1984,0.9719,0.993
0.122831385,-0.0406,0.1967,0.9726,0.993
0.126813962,-0.0428,0.1957,0.9745,0.995
0.130623385,-0.0432,0.1957,0.977,0.997
0.133988,-0.0432,0.1964,0.9799,1
0.138423385,-0.042,0.1967,0.9816,1.002
0.143017231,-0.0425,0.1969,0.9826,1.003
0.147051539,-0.0423,0.1974,0.985,1.006
0.150947885,-0.0403,0.1976,0.9882,1.009
0.154792385,-0.0398,0.1981,0.9877,1.008
0.159017808,-0.0388,0.1972,0.9877,1.008
