time,gFx,gFy,gFz,TgF
0.010161692,-0.0831,0.1757,0.9995,1.018
0.013370615,-0.0799,0.1845,0.9868,1.007
0.01715623,-0.0782,0.1849,0.9824,1.003
0.028914577,-0.0772,0.1835,0.9802,1
0.03341923,-0.0796,0.1788,0.9733,0.993
0.038093961,-0.0831,0.1771,0.9733,0.993
0.042577077,-0.0872,0.1749,0.9755,0.995
0.045828538,-0.0894,0.1737,0.9784,0.998
0.0493005,-0.0945,0.1713,0.985,1.004
0.055186538,-0.0931,0.1691,0.9907,1.009
0.05823473,-0.0914,0.1661,0.9973,1.015
0.064466461,-0.0887,0.1637,1.0026,1.02
0.066851384,-0.0862,0.1612,1.0073,1.024
0.070635076,-0.0838,0.1612,1.0119,1.028
0.074380192,-0.0821,0.1595,1.0163,1.032
0.078461923,-0.0811,0.1598,1.0205,1.036
0.08244473,-0.0811,0.1593,1.0236,1.039
0.086724269,-0.0811,0.1586,1.0251,1.04
0.09093523,-0.0816,0.1593,1.0246,1.04
0.094958038,-0.0801,0.162,1.0229,1.039
0.098729384,-0.0796,0.1617,1.019,1.035
0.102880384,-0.0809,0.1632,1.0156,1.032
0.107476384,-0.0821,0.1656,1.0092,1.026
0.111272769,-0.0818,0.1664,1.0048,1.022
0.115123269,-0.0826,0.1666,0.998,1.015
0.119685423,-0.0836,0.1686,0.9941,1.012
0.124108423,-0.0848,0.17,0.9904,1.008
0.127741538,-0.0853,0.1705,0.9863,1.005
0.131415153,-0.0855,0.171,0.9831,1.002
0.136423192,-0.0853,0.171,0.9816,1
0.141523807,-0.0855,0.1713,0.9794,0.998
0.143708615,-0.084,0.1703,0.9794,0.998
0.148138076,-0.0831,0.1715,0.9799,0.998
0.154724807,-0.0814,0.1727,0.9787,0.997
0.158034076,-0.0806,0.173,0.9777,0.996
0.160564346,-0.0796,0.173,0.9777,0.996
0.164430384,-0.0799,0.1747,0.9765,0.995
0.169626769,-0.0799,0.1747,0.9743,0.993
0.173087846,-0.0814,0.1749,0.9743,0.993
0.176868346,-0.0816,0.1769,0.9736,0.993
0.180346307,-0.0823,0.1781,0.9743,0.994
0.18504623,-0.0828,0.1783,0.975,0.995
0.18919673,-0.0838,0.1803,0.9743,0.994
0.193241461,-0.0836,0.1803,0.976,0.996
0.197066615,-0.0816,0.1793,0.976,0.996
0.201151538,-0.0809,0.1783,0.9758,0.995
0.205500769,-0.0823,0.1781,0.9777,0.997
0.209526923,-0.0826,0.1774,0.9772,0.997
0.213555038,-0.0848,0.1779,0.9794,0.999
0.217608346,-0.087,0.1781,0.9799,1
0.219771076,-0.088,0.1771,0.9797,0.999
0.222061153,-0.0884,0.1761,0.9802,1
0.225841153,-0.0887,0.1766,0.9802,1
0.230128807,-0.0892,0.1764,0.9792,0.999
0.234009615,-0.0887,0.1754,0.9777,0.997
0.238603653,-0.087,0.1754,0.9762,0.996
0.242742307,-0.0867,0.1766,0.9755,0.995
0.246259538,-0.087,0.1769,0.975,0.995
0.250354653,-0.0865,0.1781,0.975,0.995
0.254950999,-0.0853,0.1759,0.9758,0.995
0.259206615,-0.085,0.1771,0.977,0.997
0.262488461,-0.0858,0.1788,0.9792,0.999
0.266764192,-0.0845,0.1791,0.9787,0.999
0.271848615,-0.0833,0.1786,0.9804,1
0.275015807,-0.0823,0.1786,0.9806,1
0.279172576,-0.0823,0.1779,0.9792,0.999
0.283082038,-0.0836,0.1781,0.9792,0.999
0.287719999,-0.0833,0.1779,0.9782,0.998
0.292080961,-0.0843,0.1764,0.9782,0.998
0.29558123,-0.086,0.1759,0.9806,1
0.299923884,-0.0877,0.1749,0.9814,1.001
0.303579384,-0.0897,0.1752,0.9814,1.001
0.308107769,-0.0906,0.1766,0.9804,1
0.311993269,-0.0904,0.1747,0.9809,1
0.316115192,-0.0887,0.1771,0.978,0.998
0.322542807,-0.0887,0.1771,0.975,0.995
0.325506192,-0.0877,0.1776,0.9721,0.992
0.328490961,-0.0862,0.1781,0.9711,0.991
0.332305346,-0.0877,0.1801,0.9684,0.989
0.336517153,-0.0884,0.1813,0.9692,0.99
0.340592269,-0.0887,0.1803,0.9706,0.991
0.343403461,-0.0897,0.1793,0.9723,0.993
0.345760846,-0.0914,0.1781,0.9765,0.997
0.348792961,-0.0916,0.1786,0.978,0.998
0.353947576,-0.0909,0.1783,0.9811,1.001
0.356914076,-0.0901,0.1776,0.9809,1.001
0.36094823,-0.0884,0.1779,0.9824,1.002
0.364924076,-0.088,0.1776,0.9824,1.002
0.36949073,-0.0875,0.1766,0.9831,1.003
0.373439422,-0.0901,0.1766,0.9838,1.004
0.377289692,-0.0928,0.1769,0.9833,1.003
0.381660961,-0.0953,0.1766,0.9841,1.004
0.387991192,-0.0955,0.1788,0.9843,1.005
0.390345499,-0.0965,0.1783,0.9843,1.005
0.393781345,-0.096,0.1788,0.9865,1.007
0.397899653,-0.095,0.1788,0.987,1.008
0.402804038,-0.0916,0.1791,0.987,1.007
0.406415115,-0.0892,0.1788,0.9872,1.007
0.410205692,-0.0884,0.1796,0.9885,1.009
0.414146384,-0.0877,0.1791,0.988,1.008
0.41969423,-0.0872,0.1793,0.989,1.009
0.422467999,-0.0884,0.1791,0.9899,1.01
0.426171038,-0.0901,0.1783,0.9897,1.01
0.430364999,-0.0914,0.1786,0.9907,1.011
0.434749269,-0.0916,0.1796,0.9904,1.011
0.438895538,-0.0916,0.1793,0.9902,1.01
0.442722461,-0.0919,0.1788,0.9907,1.011
0.44698223,-0.0916,0.1781,0.9914,1.011
0.451343345,-0.0921,0.1764,0.9919,1.012
0.454667038,-0.0916,0.1769,0.9916,1.011
0.457761961,-0.0916,0.1776,0.9921,1.012
0.460470192,-0.0914,0.1747,0.9936,1.013
0.463234807,-0.0901,0.1747,0.9941,1.013
0.466962422,-0.0899,0.1769,0.9943,1.014
0.471275884,-0.0889,0.1783,0.9955,1.015
0.475457922,-0.0882,0.1776,0.9946,1.014
0.479527961,-0.088,0.1791,0.9933,1.013
0.483600807,-0.0858,0.1776,0.9938,1.013
0.487969999,-0.0867,0.1764,0.9933,1.013
0.492002653,-0.0858,0.1766,0.9953,1.014
0.49595773,-0.085,0.1771,0.9958,1.015
0.500050076,-0.0853,0.1761,0.9948,1.014
0.50232223,-0.0855,0.1761,0.9948,1.014
0.504412615,-0.084,0.1771,0.9948,1.014
0.508088615,-0.0836,0.1796,0.9946,1.014
0.512678615,-0.0828,0.1781,0.9924,1.012
0.516684115,-0.0818,0.1786,0.9933,1.013
0.521102461,-0.0821,0.1791,0.9919,1.011
0.524907538,-0.0809,0.1783,0.9907,1.01
0.528837692,-0.0806,0.1757,0.9931,1.012
0.53320273,-0.0801,0.1739,0.9941,1.012
0.537387807,-0.0814,0.1732,0.9941,1.012
0.541358076,-0.0806,0.1732,0.9951,1.013
0.545264422,-0.0811,0.173,0.9943,1.013
0.549052653,-0.0814,0.1742,0.9941,1.013
0.55453173,-0.0801,0.1754,0.9912,1.01
0.558567499,-0.0789,0.1766,0.988,1.007
0.562302038,-0.0782,0.1776,0.9846,1.003
0.566466153,-0.0767,0.1771,0.9809,1
0.570694768,-0.0755,0.1766,0.9809,1
0.574532192,-0.076,0.1791,0.9814,1
0.578537884,-0.0774,0.1803,0.9809,1
0.582344192,-0.077,0.1803,0.9821,1.001
0.587075038,-0.0748,0.1793,0.9811,1
0.591199345,-0.0726,0.1781,0.9811,1
0.594756999,-0.0716,0.1783,0.9816,1
0.598976038,-0.0711,0.1779,0.9804,0.999
0.603614538,-0.0696,0.1798,0.9806,0.999
0.607464653,-0.0699,0.1808,0.9794,0.998
0.611406038,-0.0713,0.1813,0.9792,0.998
0.615620115,-0.0704,0.1803,0.9787,0.998
0.61992373,-0.0718,0.1769,0.9792,0.998
0.623819307,-0.0721,0.1771,0.9806,0.999
0.627699191,-0.0726,0.1766,0.9804,0.999
0.631311115,-0.0728,0.1764,0.9809,0.999
0.636649499,-0.0726,0.1781,0.9806,0.999
0.640726499,-0.0713,0.1783,0.9809,1
0.644173922,-0.0713,0.1793,0.9816,1
0.64805173,-0.0723,0.1786,0.9826,1.001
0.655874884,-0.0711,0.1791,0.9843,1.003
0.658863615,-0.0691,0.1771,0.985,1.003
0.660866115,-0.0679,0.1771,0.9855,1.004
0.664846461,-0.0667,0.1769,0.9865,1.004
0.669866307,-0.0679,0.1749,0.985,1.003
0.672449115,-0.0677,0.1747,0.9858,1.003
0.674647884,-0.0682,0.1742,0.9858,1.003
0.676954615,-0.0696,0.1742,0.9848,1.003
0.680789115,-0.0699,0.1742,0.9831,1.001
0.68286073,-0.0699,0.1737,0.9833,1.001
0.685334961,-0.0711,0.1737,0.9838,1.002
0.689023538,-0.0721,0.1742,0.9819,1
0.694081422,-0.0713,0.1757,0.9804,0.999
0.698540076,-0.0691,0.1776,0.9804,0.999
0.701852422,-0.0677,0.1776,0.9797,0.998
0.703995884,-0.0672,0.1766,0.9784,0.997
0.706096961,-0.066,0.1769,0.9782,0.996
0.710023114,-0.0643,0.1766,0.9775,0.995
0.713644884,-0.0652,0.1776,0.9775,0.996
0.717595653,-0.0657,0.1759,0.978,0.996
0.720665038,-0.0665,0.1754,0.978,0.996
0.723065922,-0.0677,0.1761,0.9794,0.997
0.726606345,-0.0674,0.1761,0.9792,0.997
0.730126614,-0.0687,0.1747,0.9787,0.997
0.734372538,-0.0694,0.1742,0.9799,0.998
0.738946422,-0.0694,0.1739,0.9794,0.997
0.742754461,-0.0694,0.1739,0.9797,0.997
0.746770999,-0.0684,0.1739,0.9799,0.998
0.75069773,-0.0665,0.1732,0.9809,0.998
0.756921268,-0.066,0.1725,0.9819,0.999
0.759848884,-0.0667,0.1725,0.9841,1.001
0.763008307,-0.0665,0.1747,0.9843,1.002
0.766855268,-0.0672,0.1739,0.9848,1.002
0.771067653,-0.0704,0.1732,0.9841,1.002
0.775032999,-0.0711,0.1739,0.9843,1.002
0.779396345,-0.0723,0.1727,0.985,1.003
0.783105499,-0.0721,0.1715,0.9855,1.003
0.787595653,-0.0708,0.1708,0.9875,1.005
0.791441807,-0.0723,0.1698,0.9904,1.007
0.795176653,-0.0723,0.17,0.9904,1.008
0.799283999,-0.0718,0.1695,0.9909,1.008
0.803676076,-0.0721,0.1698,0.9919,1.009
0.807907807,-0.0718,0.1698,0.9909,1.008
0.811817345,-0.0701,0.172,0.9914,1.009
0.815883691,-0.0713,0.1735,0.9904,1.008
0.820319614,-0.0704,0.1747,0.9894,1.007
0.82435573,-0.0706,0.1732,0.9885,1.006
0.828355807,-0.0711,0.1739,0.9877,1.005
0.832296845,-0.0716,0.1732,0.987,1.005
0.836252153,-0.0718,0.1735,0.9885,1.006
