time,gFx,gFy,gFz,TgF
0.001287808,-0.1156,0.1847,0.9804,1.004
0.003654077,-0.108,0.181,0.9748,0.997
0.007196769,-0.1055,0.181,0.9753,0.998
0.010558231,-0.1019,0.1798,0.977,0.999
0.014682654,-0.0994,0.1803,0.975,0.997
0.018787692,-0.0985,0.181,0.9701,0.992
0.025887423,-0.0972,0.1803,0.9692,0.991
0.028857731,-0.0975,0.1837,0.967,0.989
0.031231231,-0.0967,0.1837,0.9643,0.986
0.035082,-0.0975,0.1859,0.9591,0.982
0.047099269,-0.0992,0.1896,0.9565,0.98
0.0515325,-0.1029,0.1957,0.9506,0.976
0.057113769,-0.1026,0.1962,0.9518,0.977
0.059865231,-0.1024,0.1976,0.9543,0.98
0.064240384,-0.1041,0.1998,0.9552,0.981
0.067985769,-0.1033,0.2003,0.9577,0.984
0.072352192,-0.1046,0.2006,0.9572,0.984
0.076212692,-0.1041,0.2018,0.9587,0.985
0.080448192,-0.1033,0.2033,0.9582,0.985
0.083911923,-0.1031,0.1998,0.9582,0.984
0.088358692,-0.1026,0.1972,0.9611,0.986
0.092434307,-0.1016,0.1957,0.9616,0.987
0.095346154,-0.0975,0.1957,0.9638,0.988
0.097617615,-0.095,0.1932,0.9643,0.988
0.101147807,-0.0931,0.1928,0.965,0.988
0.105337461,-0.0904,0.1923,0.9665,0.99
0.107544731,-0.0884,0.1918,0.9679,0.991
0.111019154,-0.0875,0.1896,0.9728,0.995
0.113344577,-0.087,0.1886,0.9748,0.997
0.117250461,-0.0867,0.1879,0.9777,0.999
0.120850307,-0.0858,0.1857,0.9824,1.003
0.123635538,-0.0853,0.1857,0.9843,1.005
0.127241961,-0.085,0.184,0.9863,1.007
0.129649269,-0.0843,0.1823,0.9872,1.007
0.1336765,-0.0831,0.1835,0.9887,1.009
0.137540423,-0.0821,0.1832,0.989,1.009
0.141754538,-0.0823,0.1825,0.9892,1.009
0.145972846,-0.0845,0.1852,0.9899,1.011
0.149687731,-0.0865,0.1847,0.9907,1.011
0.1539045,-0.0887,0.1847,0.9941,1.015
0.158489961,-0.0916,0.1862,0.9965,1.018
0.161799192,-0.0914,0.1859,0.9963,1.018
0.165782538,-0.0928,0.1857,0.9955,1.017
0.170054384,-0.0926,0.1857,0.9958,1.017
0.174717731,-0.0938,0.1847,0.9948,1.016
0.178469961,-0.095,0.1818,0.9943,1.015
0.182441077,-0.0955,0.1788,0.9955,1.016
0.186569846,-0.0963,0.1781,0.9975,1.018
0.191497154,-0.097,0.1739,1.0009,1.021
0.195070807,-0.097,0.1725,1.0039,1.023
0.199690038,-0.0989,0.1705,1.0063,1.025
0.203249577,-0.1004,0.1717,1.0061,1.026
0.207620115,-0.1014,0.1713,1.0065,1.026
0.21225,-0.1016,0.1695,1.0061,1.025
0.215832807,-0.1029,0.1703,1.0056,1.025
0.219822115,-0.1024,0.1708,1.0043,1.024
0.223910192,-0.1031,0.1727,1.0026,1.023
0.228680961,-0.1053,0.1749,1.0026,1.023
0.232111577,-0.107,0.1764,1.0019,1.023
0.235954769,-0.1085,0.1783,0.9973,1.019
0.240235384,-0.1082,0.1788,0.9926,1.014
0.244316615,-0.1077,0.1788,0.9894,1.011
0.24871223,-0.1068,0.1798,0.9877,1.01
0.252545269,-0.1043,0.1796,0.9843,1.006
0.2570075,-0.1026,0.1801,0.9843,1.006
0.261747577,-0.1009,0.1827,0.9843,1.006
0.264944769,-0.1029,0.1847,0.9836,1.006
0.268949154,-0.1065,0.1852,0.9836,1.007
0.273253269,-0.1102,0.1864,0.9824,1.006
0.277527154,-0.1131,0.1876,0.9814,1.006
0.28119673,-0.1156,0.1874,0.9809,1.005
0.284867538,-0.1182,0.1862,0.9816,1.006
0.292265884,-0.119,0.1864,0.9872,1.012
0.295443192,-0.1192,0.1832,0.9907,1.014
0.298002769,-0.1182,0.1803,0.9948,1.018
0.302450884,-0.1175,0.1769,0.9985,1.021
0.307463192,-0.1207,0.1742,0.9999,1.022
0.310606038,-0.1217,0.1705,1.0034,1.025
0.314200346,-0.1246,0.1703,1.0048,1.027
0.317920153,-0.1241,0.1703,1.0058,1.028
0.322320038,-0.1226,0.1683,1.0029,1.024
0.32631673,-0.1214,0.1715,1.007,1.029
0.330252538,-0.1195,0.1739,1.0024,1.024
0.33443273,-0.1207,0.1749,0.9975,1.02
0.338783038,-0.1214,0.1783,0.9916,1.015
0.343632192,-0.1212,0.1801,0.9885,1.012
0.346999461,-0.116,0.1808,0.9846,1.008
0.351061384,-0.1109,0.1803,0.9804,1.003
0.354994,-0.1046,0.183,0.9755,0.998
0.359135807,-0.1019,0.1842,0.9716,0.994
0.363285077,-0.1011,0.1849,0.9689,0.992
0.366881653,-0.1002,0.1852,0.964,0.987
0.3712055,-0.0982,0.1857,0.9609,0.984
0.373449807,-0.098,0.1854,0.9589,0.982
0.375806461,-0.097,0.184,0.9569,0.979
0.379913307,-0.0931,0.1779,0.9526,0.973
0.383748923,-0.0855,0.1759,0.9513,0.971
0.387702538,-0.088,0.1754,0.9523,0.972
0.392204653,-0.0916,0.1754,0.955,0.975
0.396231038,-0.0955,0.1693,0.9613,0.981
0.400374192,-0.0992,0.1659,0.9591,0.978
0.404596846,-0.1036,0.1634,0.9591,0.978
0.408458846,-0.1041,0.1605,0.9572,0.976
0.412495961,-0.1004,0.1571,0.9569,0.975
0.416538576,-0.0958,0.1524,0.956,0.973
0.4204385,-0.0916,0.1473,0.9567,0.972
0.42488873,-0.0884,0.1434,0.9567,0.971
0.4291605,-0.085,0.1402,0.9579,0.972
0.433090769,-0.0799,0.1368,0.9584,0.971
0.436892384,-0.0777,0.1351,0.9591,0.972
0.441181,-0.0779,0.1341,0.9601,0.973
0.44551523,-0.0772,0.1361,0.9591,0.972
0.449123961,-0.0765,0.1378,0.9584,0.971
0.453382192,-0.0752,0.1397,0.9569,0.97
0.457741038,-0.0743,0.1422,0.9569,0.97
0.462099692,-0.0706,0.1446,0.956,0.969
0.465676192,-0.0665,0.148,0.9569,0.971
0.469668692,-0.0608,0.1505,0.9587,0.972
0.474007076,-0.0542,0.1527,0.9599,0.973
0.47861873,-0.0462,0.1554,0.9621,0.976
0.482064807,-0.042,0.1578,0.9657,0.979
0.486005923,-0.0359,0.1608,0.9697,0.984
0.492536653,-0.0318,0.1627,0.9743,0.988
0.495386038,-0.0286,0.1627,0.9792,0.993
0.498981307,-0.0286,0.1649,0.9843,0.998
0.502714076,-0.0286,0.1666,0.9909,1.005
0.506863923,-0.0305,0.1686,0.999,1.014
0.511021384,-0.034,0.1691,1.0046,1.019
0.514896576,-0.0369,0.1688,1.0109,1.026
0.519153499,-0.0408,0.1693,1.0185,1.033
0.523605692,-0.0437,0.1686,1.0251,1.04
0.527604615,-0.0472,0.1688,1.0305,1.045
0.53106123,-0.0508,0.1695,1.0354,1.05
0.535206076,-0.0537,0.1713,1.0393,1.055
0.539652307,-0.0559,0.173,1.0407,1.057
0.543933115,-0.0581,0.1754,1.0427,1.059
0.547752076,-0.0572,0.1764,1.0434,1.06
0.551812653,-0.0574,0.1761,1.0444,1.061
0.556423769,-0.0577,0.1742,1.0415,1.058
0.561254576,-0.0596,0.1722,1.0356,1.052
0.564206615,-0.0699,0.1654,1.0273,1.043
0.568139038,-0.074,0.1625,1.018,1.034
0.572184307,-0.0765,0.1671,1.0139,1.03
0.576304807,-0.0694,0.1776,1.0063,1.024
0.580802961,-0.0493,0.1876,1.0019,1.021
0.584670653,-0.0276,0.1947,1.0073,1.026
0.588851999,-0.0137,0.195,1.0197,1.038
0.593043923,-0.0115,0.1913,1.0258,1.044
0.597029115,-0.0193,0.1835,1.04,1.056
0.600895961,-0.0264,0.1798,1.0412,1.057
0.605623499,-0.0335,0.1808,1.0393,1.055
0.619729961,-0.0384,0.1774,1.0327,1.049
0.621974423,-0.0677,0.1918,1.007,1.027
0.628221422,-0.0694,0.194,1.0021,1.023
0.630750499,-0.0726,0.2033,0.9792,1.003
0.633816307,-0.0728,0.2035,0.9736,0.997
0.638446922,-0.0721,0.203,0.9633,0.987
0.642355307,-0.0713,0.2016,0.9589,0.982
0.646104269,-0.0704,0.1998,0.955,0.978
0.650086922,-0.0669,0.1991,0.9504,0.973
0.653842038,-0.0655,0.2013,0.9479,0.971
0.660708346,-0.0608,0.2055,0.9455,0.969
0.663081692,-0.0545,0.2121,0.9386,0.964
0.666626615,-0.0503,0.2172,0.9335,0.96
0.670788846,-0.0479,0.2218,0.9281,0.955
0.675963615,-0.0447,0.2274,0.9213,0.95
0.678867576,-0.043,0.2311,0.912,0.942
0.682777653,-0.044,0.2365,0.9052,0.937
0.686801115,-0.045,0.2404,0.8981,0.931
0.691338807,-0.0481,0.2441,0.8925,0.926
0.694968999,-0.0493,0.2487,0.8895,0.925
0.699070576,-0.0503,0.2519,0.8854,0.922
0.703353769,-0.0501,0.2526,0.88,0.917
0.71225123,-0.0486,0.2516,0.8736,0.91
0.717905192,-0.0457,0.2507,0.8656,0.902
0.720272538,-0.0452,0.2507,0.8626,0.899
0.72489273,-0.0464,0.2502,0.8634,0.9
0.728331961,-0.0457,0.2497,0.8634,0.9
0.732571999,-0.0457,0.2492,0.8661,0.902
0.735971807,-0.0467,0.2499,0.8673,0.904
0.742846807,-0.0508,0.2482,0.8692,0.905
0.745056115,-0.0552,0.248,0.8727,0.909
0.74877973,-0.0591,0.2507,0.878,0.915
0.752717999,-0.0589,0.2577,0.8824,0.921
0.756691422,-0.0616,0.2646,0.8883,0.929
0.761045653,-0.0672,0.2695,0.8934,0.936
0.764946999,-0.0723,0.2775,0.8971,0.942
0.769478192,-0.0738,0.2827,0.9015,0.948
0.773358269,-0.0774,0.2871,0.9052,0.953
0.77741773,-0.0909,0.2932,0.9408,0.99
0.781304538,-0.0914,0.2929,0.9518,1
0.785315538,-0.0699,0.2895,0.9428,0.989
0.793452499,-0.0486,0.2956,0.9452,0.992
0.797578576,-0.0308,0.2895,0.9122,0.958
0.800065845,-0.0332,0.2888,0.9074,0.953
0.803108422,-0.0408,0.2875,0.9012,0.947
0.806254653,-0.0445,0.2851,0.8956,0.941
