time,gFx,gFy,gFz,TgF
0.001369077,-0.118,0.1488,0.9843,1.002
0.004761846,-0.1292,0.1566,1.0051,1.025
0.008827577,-0.1305,0.163,1.0102,1.032
0.01346073,-0.1283,0.1686,1.0126,1.035
0.017489423,-0.1121,0.182,1.0156,1.038
0.020772,-0.1092,0.1747,1.0168,1.037
0.025234692,-0.1036,0.1705,1.0158,1.035
0.029538538,-0.1073,0.1608,1.0158,1.034
0.033543692,-0.1143,0.1527,1.0151,1.033
0.037692192,-0.1204,0.1441,1.0156,1.033
0.041748269,-0.1212,0.1341,1.0175,1.033
0.045847807,-0.1214,0.1244,1.0178,1.033
0.050042769,-0.1219,0.116,1.0188,1.033
0.054017038,-0.1239,0.1102,1.0219,1.035
0.05786973,-0.1283,0.1068,1.0227,1.036
0.0632355,-0.1329,0.1029,1.0222,1.036
0.066486077,-0.1368,0.1002,1.0229,1.037
0.070423538,-0.1373,0.097,1.0229,1.037
0.074475923,-0.1351,0.0938,1.0234,1.037
0.078790884,-0.1324,0.0914,1.0229,1.035
0.082834769,-0.1297,0.0892,1.0232,1.035
0.08676,-0.1268,0.0894,1.0217,1.033
0.090822269,-0.1244,0.088,1.0219,1.033
0.095174384,-0.1231,0.0882,1.0192,1.03
0.099001576,-0.1239,0.095,1.0183,1.03
0.102764038,-0.1241,0.1004,1.0126,1.025
0.107200692,-0.1236,0.1026,1.0078,1.02
0.111620269,-0.1224,0.1036,0.9985,1.011
0.115498769,-0.1178,0.1055,0.9897,1.002
0.119699192,-0.1136,0.1058,0.9787,0.991
0.123638346,-0.1121,0.107,0.9675,0.98
0.127935846,-0.1104,0.1087,0.9565,0.969
0.131990423,-0.1109,0.1099,0.9425,0.955
0.135982576,-0.1119,0.1114,0.9333,0.947
0.139835269,-0.1114,0.1143,0.924,0.938
0.144787384,-0.1129,0.116,0.9137,0.928
0.148348461,-0.1136,0.1182,0.9052,0.92
0.152369769,-0.1153,0.12,0.899,0.914
0.156451538,-0.117,0.1229,0.8925,0.908
0.1638475,-0.1214,0.1263,0.8878,0.905
0.166094461,-0.1219,0.1307,0.881,0.899
0.168924615,-0.1231,0.1322,0.8802,0.899
0.172843461,-0.1258,0.1356,0.8775,0.897
0.177268769,-0.1273,0.139,0.8768,0.897
0.181038692,-0.127,0.1419,0.8773,0.898
0.184830115,-0.13,0.1446,0.88,0.901
0.18929873,-0.1327,0.1485,0.8839,0.906
0.193443115,-0.1329,0.1515,0.8893,0.912
0.197740923,-0.1339,0.1544,0.8946,0.918
0.20175823,-0.1371,0.1561,0.9012,0.925
0.205699038,-0.139,0.1564,0.9091,0.933
0.209775692,-0.1393,0.1566,0.9152,0.939
0.214091192,-0.1422,0.1551,0.9223,0.946
0.218167769,-0.1446,0.152,0.9301,0.953
0.222118499,-0.1483,0.1505,0.9381,0.962
0.226091653,-0.1515,0.1478,0.946,0.969
0.228220076,-0.1537,0.1468,0.9496,0.973
0.230693384,-0.1556,0.1459,0.9528,0.976
0.23449673,-0.1598,0.1437,0.9601,0.984
0.238481653,-0.1642,0.1424,0.9655,0.99
0.243010846,-0.1698,0.1402,0.9706,0.995
0.246999307,-0.1766,0.1397,0.9765,1.002
0.251109538,-0.1801,0.1402,0.9797,1.006
0.254953653,-0.1842,0.1424,0.9838,1.011
0.259053961,-0.1879,0.1424,0.9872,1.015
0.264243384,-0.1896,0.1437,0.9897,1.018
0.267426538,-0.1925,0.1446,0.9951,1.024
0.271567961,-0.1957,0.1461,0.9997,1.029
0.275562038,-0.1957,0.1395,1.0034,1.032
0.279847884,-0.1974,0.1351,1.0065,1.035
0.283926615,-0.202,0.1349,1.0117,1.04
0.288163692,-0.2167,0.1532,1.0227,1.057
0.291906538,-0.2167,0.1512,1.0312,1.065
0.296358192,-0.2162,0.1488,1.0368,1.07
0.300502192,-0.2172,0.1456,1.0444,1.077
0.304125499,-0.2155,0.1407,1.0539,1.085
0.308198269,-0.2121,0.1334,1.0649,1.094
0.313012846,-0.2077,0.1224,1.0789,1.105
0.317265038,-0.2079,0.1143,1.0928,1.118
0.320905692,-0.2094,0.1114,1.1057,1.131
0.324961769,-0.2113,0.1094,1.1167,1.142
0.329320461,-0.214,0.1092,1.1265,1.152
0.333615346,-0.2174,0.1087,1.1324,1.158
0.337142961,-0.2187,0.1114,1.1372,1.163
0.341187769,-0.2177,0.1124,1.1407,1.167
0.345442038,-0.214,0.1124,1.1399,1.165
0.349511384,-0.2108,0.1114,1.1382,1.163
0.353688769,-0.206,0.109,1.1336,1.157
0.357748384,-0.202,0.106,1.1316,1.154
0.364207884,-0.1998,0.1019,1.1277,1.15
0.366829999,-0.2006,0.1004,1.1241,1.146
0.370284884,-0.2008,0.0992,1.1182,1.14
0.374354884,-0.2013,0.0994,1.1101,1.133
0.379130499,-0.2033,0.1021,1.1023,1.126
0.382574653,-0.2025,0.1031,1.0908,1.114
0.386415807,-0.1996,0.1041,1.0781,1.101
0.390305692,-0.1957,0.1073,1.0613,1.084
0.395368461,-0.1935,0.1109,1.0461,1.07
0.399018269,-0.191,0.1136,1.0307,1.054
0.402867499,-0.1881,0.118,1.0166,1.041
0.407003576,-0.1827,0.1214,1.0017,1.025
0.411770038,-0.1783,0.1241,0.9821,1.006
0.415250769,-0.1757,0.1283,0.9638,0.988
0.419258153,-0.173,0.1305,0.9455,0.97
0.423257307,-0.1691,0.1339,0.9284,0.953
0.427626999,-0.1644,0.1368,0.9115,0.936
0.431257038,-0.1605,0.1405,0.8959,0.921
0.433494692,-0.1576,0.1417,0.8888,0.914
0.435711692,-0.1546,0.1429,0.8812,0.906
0.439647038,-0.1522,0.1463,0.8675,0.893
0.443754076,-0.1495,0.1495,0.8539,0.88
0.448187615,-0.1468,0.1515,0.8446,0.871
0.452037499,-0.1437,0.1539,0.8397,0.866
0.456075192,-0.1397,0.1551,0.8353,0.861
0.460126692,-0.1363,0.1566,0.8326,0.858
0.464296807,-0.1356,0.1576,0.8319,0.857
0.466928538,-0.1331,0.1595,0.8297,0.855
0.468964538,-0.1309,0.1605,0.8282,0.854
0.472698845,-0.1273,0.1605,0.8277,0.853
0.477041345,-0.1241,0.1625,0.8258,0.851
0.481006115,-0.1224,0.1632,0.8231,0.848
0.484940115,-0.118,0.1654,0.8214,0.846
0.489089615,-0.1148,0.1669,0.8182,0.843
0.493008076,-0.1124,0.1691,0.814,0.839
0.495268961,-0.1116,0.1691,0.8116,0.836
0.498321422,-0.1092,0.1713,0.8089,0.834
0.501419076,-0.1087,0.1715,0.8077,0.833
0.505352768,-0.1085,0.1739,0.806,0.832
0.509809807,-0.1063,0.1764,0.8023,0.828
0.513357499,-0.1055,0.1793,0.7986,0.825
0.517896422,-0.106,0.183,0.7967,0.824
0.521873384,-0.1051,0.1827,0.7979,0.825
0.526043307,-0.1112,0.1612,0.7938,0.818
0.530692192,-0.1109,0.1559,0.7967,0.819
0.534208345,-0.1082,0.1764,0.8006,0.827
0.538213884,-0.1126,0.1857,0.8018,0.831
0.542277192,-0.1116,0.1962,0.8018,0.833
0.546848384,-0.1163,0.1957,0.8035,0.835
0.550866422,-0.1143,0.204,0.8069,0.84
0.554373653,-0.1116,0.2081,0.8084,0.842
0.558524038,-0.1107,0.2118,0.8116,0.846
0.564058307,-0.107,0.2169,0.8153,0.85
0.567299345,-0.1092,0.2099,0.8189,0.852
0.571373422,-0.1134,0.1967,0.8238,0.855
0.575139845,-0.1182,0.1925,0.8324,0.862
0.580278538,-0.1273,0.1935,0.8404,0.872
0.584825961,-0.1358,0.1989,0.8465,0.88
0.588091768,-0.1405,0.2035,0.8602,0.895
0.591286192,-0.1432,0.2079,0.8773,0.913
0.596866692,-0.1441,0.215,0.8966,0.933
0.600283268,-0.1451,0.2167,0.9086,0.945
0.604832499,-0.1456,0.2165,0.9157,0.952
0.608477653,-0.1461,0.2157,0.923,0.959
0.613410691,-0.1456,0.2133,0.9323,0.967
0.616442307,-0.1466,0.2111,0.9406,0.975
0.621268499,-0.1461,0.2113,0.946,0.98
0.624696115,-0.1476,0.2113,0.9511,0.985
0.630012499,-0.1493,0.2128,0.9528,0.988
0.632857961,-0.1515,0.2145,0.9523,0.988
0.637992268,-0.1566,0.2162,0.9491,0.986
0.640897691,-0.1617,0.2155,0.946,0.984
0.646403999,-0.1647,0.2174,0.9442,0.983
0.649358538,-0.1703,0.2189,0.9416,0.982
0.654265576,-0.1725,0.2213,0.9403,0.981
0.658436153,-0.173,0.2233,0.9376,0.979
0.661944884,-0.1727,0.2248,0.9364,0.978
0.668861845,-0.1725,0.2262,0.9357,0.978
0.671120499,-0.1673,0.2294,0.932,0.974
0.674223422,-0.1642,0.2309,0.9298,0.972
0.678321884,-0.1588,0.2311,0.9264,0.968
0.690046845,-0.1568,0.2316,0.9245,0.966
0.698782845,-0.1358,0.2375,0.9027,0.943
0.700894153,-0.1283,0.2414,0.8905,0.932
0.703174576,-0.1256,0.2428,0.8834,0.925
0.706882076,-0.1224,0.2475,0.8722,0.915
0.713656345,-0.1197,0.2529,0.8592,0.904
0.716029538,-0.117,0.2624,0.8399,0.888
0.718763153,-0.1163,0.2643,0.8343,0.883
0.722993153,-0.1153,0.2707,0.8218,0.873
0.726801345,-0.1153,0.277,0.8069,0.861
0.729607961,-0.1148,0.2805,0.8013,0.857
0.732345499,-0.1146,0.288,0.7913,0.85
0.735828422,-0.1148,0.291,0.7854,0.845
0.739298422,-0.1158,0.2983,0.7735,0.837
0.743634038,-0.1165,0.3054,0.7639,0.831
0.746555845,-0.116,0.3081,0.7603,0.828
0.748724922,-0.116,0.3144,0.7542,0.825
0.751613576,-0.1163,0.3181,0.7505,0.823
0.756237268,-0.1148,0.3283,0.7461,0.823
0.759427768,-0.1129,0.3379,0.7429,0.824
0.766988614,-0.1119,0.3467,0.7434,0.828
0.769745114,-0.1094,0.3586,0.7444,0.834
0.772416884,-0.1082,0.365,0.7471,0.838
0.776125576,-0.1024,0.375,0.7537,0.848
0.789601691,-0.0967,0.3811,0.7635,0.859
0.792753461,-0.0738,0.3797,0.8189,0.906
0.797469345,-0.0682,0.3728,0.8465,0.927
0.801073845,-0.0628,0.3679,0.8815,0.957
0.805365114,-0.0655,0.3638,0.9352,1.006
0.808591384,-0.0733,0.3647,0.9831,1.051
0.813455114,-0.0875,0.3687,1.03,1.097
0.817308114,-0.1073,0.3765,1.0767,1.146
0.82133223,-0.1263,0.3889,1.1231,1.195
0.825559845,-0.1493,0.3999,1.1583,1.234
0.829762576,-0.1717,0.4134,1.1971,1.278
0.833731076,-0.1813,0.4246,1.2443,1.327
0.837564614,-0.1886,0.42,1.2748,1.355
0.841236076,-0.1862,0.4178,1.3105,1.388
0.846365384,-0.181,0.4205,1.352,1.427
0.850190268,-0.172,0.3936,1.3762,1.442
0.854286807,-0.1581,0.3652,1.406,1.461
0.858466884,-0.1415,0.3291,1.4404,1.484
0.866600114,-0.1339,0.3034,1.469,1.506
0.870819922,-0.0938,0.2651,1.536,1.561
0.874423807,-0.0557,0.2507,1.5521,1.573
0.889269422,-0.0139,0.2482,1.5697,1.589
0.892209576,0.1004,0.2326,1.5775,1.598
0.896165576,0.108,0.2294,1.5728,1.593
0.899851999,0.12,0.2213,1.566,1.586
0.903091653,0.1327,0.205,1.5555,1.575
0.907341691,0.1388,0.1779,1.5335,1.55
0.912959422,0.1395,0.1581,1.5127,1.527
0.916004307,0.1419,0.1339,1.4886,1.501
0.919916268,0.1432,0.1058,1.4526,1.464
0.92329373,0.1444,0.0855,1.4184,1.428
0.929841884,0.1407,0.075,1.3759,1.385
0.93209673,0.1329,0.084,1.3361,1.345
0.93673223,0.1341,0.0997,1.2892,1.3
0.941097537,0.1429,0.1097,1.2313,1.244
0.946940576,0.1542,0.1116,1.1702,1.186
0.950252807,0.1625,0.1129,1.0945,1.112
0.953032345,0.162,0.1158,1.0764,1.095
0.95672323,0.1603,0.1217,1.0471,1.066
0.960824999,0.1649,0.1244,1.0107,1.032
0.966899845,0.1678,0.1244,0.997,1.019
0.969121422,0.1823,0.1244,0.9474,0.973
0.972904845,0.1918,0.1236,0.9132,0.941
0.977182268,0.2008,0.1275,0.8846,0.916
0.98988823,0.2042,0.1307,0.8717,0.905
0.99340696,0.2436,0.1573,0.7864,0.838
0.997997922,0.2592,0.1678,0.7661,0.826
1.002664307,0.277,0.1813,0.7534,0.823
1.005082076,0.2814,0.1918,0.739,0.814
1.009736922,0.2905,0.2035,0.7273,0.809
1.01242023,0.2941,0.2064,0.7231,0.808
1.015471191,0.2978,0.2094,0.7087,0.797
1.018199076,0.2978,0.2099,0.6973,0.787
1.022461153,0.2949,0.2128,0.6762,0.768
1.026188576,0.2905,0.216,0.6601,0.753
1.029550307,0.2868,0.2172,0.655,0.747
1.031619922,0.279,0.2191,0.6503,0.741
1.034960076,0.2744,0.2211,0.6501,0.739
1.038620114,0.2663,0.2243,0.654,0.741
1.04254223,0.2536,0.2299,0.6586,0.742
1.04698396,0.2387,0.2362,0.6611,0.742
1.05160573,0.2238,0.2406,0.6635,0.74
1.05512323,0.2077,0.2438,0.6652,0.738
1.059229499,0.1937,0.2485,0.6687,0.739
1.067046807,0.1761,0.2548,0.6728,0.741
1.07163696,0.1488,0.2573,0.6863,0.748
1.075456883,0.1378,0.2538,0.6994,0.757
1.089148807,0.13,0.2502,0.7144,0.768
1.092057153,0.1043,0.2279,0.7571,0.798
1.096232883,0.0931,0.2223,0.7671,0.804
1.10021323,0.0823,0.2147,0.7737,0.807
1.104178807,0.0682,0.2118,0.7793,0.81
1.10814596,0.0535,0.2108,0.7867,0.816
1.112482807,0.0374,0.2072,0.7928,0.82
1.11665396,0.0217,0.2011,0.8016,0.827
1.120714307,0.0078,0.2003,0.8138,0.838
1.124317114,-0.0095,0.1986,0.827,0.851
1.129743307,-0.0261,0.1928,0.8385,0.861
1.132746922,-0.0396,0.1884,0.8541,0.876
1.137429499,-0.0545,0.1849,0.8697,0.891
1.141121037,-0.0674,0.1827,0.8812,0.902
1.14636146,-0.0801,0.1783,0.8883,0.91
1.149568345,-0.0872,0.1708,0.8922,0.913
1.153994268,-0.0943,0.1686,0.9049,0.925
1.157621691,-0.1021,0.1703,0.921,0.942
1.166801614,-0.1087,0.1705,0.9313,0.953
1.169846114,-0.1234,0.1688,0.9606,0.983
1.173937037,-0.1331,0.1698,0.975,0.999
1.188931999,-0.1437,0.1695,0.9912,1.016
1.191467653,-0.184,0.1639,1.0305,1.06
1.195001499,-0.1893,0.1642,1.0349,1.065
1.198626806,-0.1972,0.1625,1.0385,1.07
1.202386691,-0.2052,0.1627,1.04,1.072
1.206373614,-0.2106,0.1622,1.0385,1.072
1.210895422,-0.2182,0.1659,1.0332,1.069
1.213041076,-0.2196,0.1669,1.029,1.065
1.215285806,-0.2223,0.1678,1.0254,1.063
1.219261576,-0.224,0.1708,1.0087,1.047
1.223513076,-0.2265,0.1752,0.9958,1.036
1.227731999,-0.2265,0.1796,0.9797,1.021
1.22989273,-0.2274,0.1818,0.9699,1.013
1.23288423,-0.224,0.1879,0.9506,0.995
1.235900153,-0.2218,0.191,0.9403,0.985
1.239695268,-0.2169,0.1969,0.9188,0.964
1.243811076,-0.2108,0.2003,0.8983,0.944
1.24619823,-0.2086,0.2018,0.889,0.935
1.248268922,-0.2067,0.2035,0.8795,0.926
1.252335768,-0.2008,0.2074,0.8597,0.907
1.256350268,-0.194,0.2103,0.8429,0.89
1.260136345,-0.1891,0.2169,0.8248,0.874
1.266757999,-0.1871,0.2201,0.816,0.866
1.269510229,-0.1859,0.2377,0.7679,0.825
