time,gFx,gFy,gFz,TgF
0.015350961,-0.0423,0.2079,1.0153,1.037
0.0212645,0.0222,0.1891,0.935,0.954
0.024058538,0.0462,0.1915,0.9242,0.945
0.027513038,0.053,0.192,0.9193,0.941
0.03233973,0.066,0.1923,0.9047,0.927
0.037542961,0.0682,0.1898,0.8973,0.92
0.040621346,0.0687,0.1903,0.8932,0.916
0.044910961,0.0643,0.1925,0.8949,0.918
0.049065961,0.0574,0.1947,0.8983,0.921
0.0538845,0.0493,0.1986,0.9047,0.928
0.057543384,0.0357,0.2028,0.9142,0.937
0.0614185,0.0195,0.206,0.9252,0.948
0.065447307,0.001,0.2091,0.9389,0.962
0.071609269,-0.0151,0.2135,0.9538,0.977
0.074843346,-0.0525,0.2155,0.9799,1.005
0.077949307,-0.0665,0.2145,0.9894,1.015
0.081609115,-0.0941,0.2128,1.0092,1.036
0.086415884,-0.12,0.2099,1.0283,1.056
0.090293807,-0.1427,0.206,1.0456,1.075
0.093900346,-0.1622,0.1986,1.0613,1.092
0.097848346,-0.181,0.1886,1.072,1.103
0.1033505,-0.1891,0.181,1.0754,1.107
0.106322961,-0.1947,0.173,1.0769,1.108
0.109819884,-0.1954,0.1676,1.0745,1.105
0.114054653,-0.1898,0.1634,1.0693,1.098
0.118300077,-0.1825,0.1612,1.0642,1.092
0.122829269,-0.1766,0.1598,1.0537,1.08
0.126820846,-0.171,0.1578,1.0398,1.065
0.13096123,-0.1625,0.1556,1.0224,1.047
0.134781807,-0.1522,0.1571,1.0061,1.03
0.136906692,-0.1459,0.1593,0.9977,1.021
0.13913573,-0.1397,0.1615,0.9897,1.012
0.143103769,-0.1292,0.1681,0.9755,0.998
0.146819461,-0.1158,0.1808,0.9591,0.983
0.151126653,-0.1043,0.1913,0.9491,0.974
0.153367115,-0.0982,0.1969,0.9457,0.971
0.155604692,-0.0926,0.2025,0.9438,0.97
0.159537077,-0.0838,0.2128,0.9394,0.967
0.163542577,-0.0777,0.2206,0.935,0.964
0.168681384,-0.0733,0.2255,0.9333,0.963
0.172828346,-0.0701,0.2304,0.9337,0.964
0.176258577,-0.0684,0.2321,0.9342,0.965
0.18000423,-0.0699,0.2338,0.9364,0.968
0.184077615,-0.0706,0.2311,0.9406,0.971
0.189161077,-0.0708,0.2311,0.943,0.974
0.191409653,-0.0713,0.2299,0.9462,0.976
0.193436192,-0.0738,0.2272,0.9579,0.987
0.196764384,-0.075,0.2233,0.9638,0.992
0.200583384,-0.0774,0.2174,0.9711,0.998
0.204939923,-0.0818,0.2125,0.9784,1.005
0.20890023,-0.0865,0.2077,0.985,1.01
0.213000038,-0.0904,0.2045,0.9946,1.019
0.216838538,-0.0923,0.2018,1.0034,1.028
0.219580192,-0.0931,0.2016,1.0075,1.032
0.222205807,-0.0941,0.2013,1.0166,1.041
0.225413,-0.0943,0.2011,1.0214,1.045
0.228699115,-0.0945,0.2025,1.0317,1.056
0.233140961,-0.0972,0.2047,1.0385,1.063
0.237705923,-0.1009,0.2057,1.0447,1.069
0.24184273,-0.1016,0.2074,1.0483,1.073
